date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:34	14589/14589	---M--	200	added ('OK')	image/svg+xml	etag:%2238fd-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/5.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/works/5.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:35	54755/54755	---M--	200	added ('OK')	image/svg+xml	etag:%22d5e3-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/4.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/works/4.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:35	17149/17149	---M--	200	added ('OK')	image/svg+xml	etag:%2242fd-5af06c49b8362%22	https://jthemes.net/themes/html/bolby/demo/images/works/6.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/works/6.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:35	2066/2066	---M-Z	200	added ('OK')	text/html	etag:%22812-5af06c0fb5a8a-gzip%22	https://jthemes.net/themes/html/bolby/demo/works-2.html	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/works-2.html	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:35	7570/7570	---M--	200	added ('OK')	image/svg+xml	etag:%221d92-5af06c35d75b1%22	https://jthemes.net/themes/html/bolby/demo/images/price-1.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/price-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:36	4044/4044	---M--	200	added ('OK')	image/svg+xml	etag:%22fcc-5af06c344adf4%22	https://jthemes.net/themes/html/bolby/demo/images/price-2.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/price-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:36	4474/4474	---M--	200	added ('OK')	image/svg+xml	etag:%22117a-5af06c33ed1f5%22	https://jthemes.net/themes/html/bolby/demo/images/price-3.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/price-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:37	25807/25807	---M--	200	added ('OK')	image/svg+xml	etag:%2264cf-5af06c2e22b43%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/avatar-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:37	1571/1571	---M--	200	added ('OK')	image/svg+xml	etag:%22623-5af06c3aa4d85%22	https://jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/client-1-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:37	24968/24968	---M--	200	added ('OK')	image/svg+xml	etag:%226188-5af06c2a2056c%22	https://jthemes.net/themes/html/bolby/demo/images/client-2-light.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/images/client-2-light.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
